Gym has been unmaintained since 2022 and does not support NumPy 2.0 amongst other critical functionality.
Please upgrade to Gymnasium, the maintained drop-in replacement of Gym, or contact the authors of your software and request that they upgrade.
Users of this version of Gym should be able to simply replace 'import gym' with 'import gymnasium as gym' in the vast majority of cases.
See the migration guide at https://gymnasium.farama.org/introduction/migration_guide/ for additional information.
pygame 2.5.2 (SDL 2.28.2, Python 3.12.4)
Analyzing Checkpoints:  47%|████▋     | 234/500 [00:22<00:24, 10.73it/s]Analyzing Checkpoints:  47%|████▋     | 236/500 [00:22<00:24, 10.81it/s]Analyzing Checkpoints:  48%|████▊     | 238/500 [00:23<00:24, 10.74it/s]Analyzing Checkpoints:  48%|████▊     | 240/500 [00:23<00:23, 11.02it/s]Analyzing Checkpoints:  48%|████▊     | 242/500 [00:23<00:23, 10.77it/s]Analyzing Checkpoints:  49%|████▉     | 244/500 [00:23<00:23, 11.03it/s]Analyzing Checkpoints:  49%|████▉     | 246/500 [00:23<00:23, 11.02it/s]Analyzing Checkpoints:  50%|████▉     | 248/500 [00:24<00:22, 11.18it/s]Analyzing Checkpoints:  50%|█████     | 250/500 [00:24<00:22, 11.04it/s]Analyzing Checkpoints:  50%|█████     | 252/500 [00:24<00:22, 11.12it/s]Analyzing Checkpoints:  51%|█████     | 254/500 [00:24<00:22, 11.02it/s]Analyzing Checkpoints:  51%|█████     | 256/500 [00:24<00:22, 10.96it/s]Analyzing Checkpoints:  52%|█████▏    | 258/500 [00:24<00:22, 10.97it/s]Analyzing Checkpoints:  52%|█████▏    | 260/500 [00:25<00:22, 10.85it/s]Analyzing Checkpoints:  52%|█████▏    | 262/500 [00:25<00:21, 10.85it/s]Analyzing Checkpoints:  53%|█████▎    | 264/500 [00:25<00:21, 10.76it/s]Analyzing Checkpoints:  53%|█████▎    | 266/500 [00:25<00:31,  7.34it/s]Analyzing Checkpoints:  54%|█████▎    | 268/500 [00:26<00:28,  8.12it/s]Analyzing Checkpoints:  54%|█████▍    | 270/500 [00:26<00:26,  8.77it/s]Analyzing Checkpoints:  54%|█████▍    | 272/500 [00:26<00:24,  9.37it/s]Analyzing Checkpoints:  55%|█████▍    | 274/500 [00:26<00:22,  9.99it/s]Analyzing Checkpoints:  55%|█████▌    | 276/500 [00:26<00:22, 10.09it/s]Analyzing Checkpoints:  56%|█████▌    | 278/500 [00:27<00:21, 10.35it/s]Analyzing Checkpoints:  56%|█████▌    | 280/500 [00:27<00:21, 10.31it/s]Analyzing Checkpoints:  56%|█████▋    | 282/500 [00:27<00:20, 10.58it/s]Analyzing Checkpoints:  57%|█████▋    | 284/500 [00:27<00:20, 10.78it/s]Analyzing Checkpoints:  57%|█████▋    | 286/500 [00:27<00:19, 10.95it/s]Analyzing Checkpoints:  58%|█████▊    | 288/500 [00:28<00:19, 10.77it/s]Analyzing Checkpoints:  58%|█████▊    | 290/500 [00:28<00:19, 10.85it/s]Analyzing Checkpoints:  58%|█████▊    | 292/500 [00:28<00:19, 10.80it/s]Analyzing Checkpoints:  59%|█████▉    | 294/500 [00:28<00:18, 10.92it/s]Analyzing Checkpoints:  59%|█████▉    | 296/500 [00:28<00:18, 11.04it/s]Analyzing Checkpoints:  60%|█████▉    | 298/500 [00:28<00:18, 10.88it/s]Analyzing Checkpoints:  60%|██████    | 300/500 [00:29<00:18, 10.68it/s]Analyzing Checkpoints:  60%|██████    | 302/500 [00:29<00:18, 10.83it/s]Analyzing Checkpoints:  61%|██████    | 304/500 [00:29<00:18, 10.86it/s]Analyzing Checkpoints:  61%|██████    | 306/500 [00:29<00:17, 10.99it/s]Analyzing Checkpoints:  62%|██████▏   | 308/500 [00:29<00:17, 11.06it/s]Analyzing Checkpoints:  62%|██████▏   | 310/500 [00:30<00:17, 11.00it/s]Analyzing Checkpoints:  62%|██████▏   | 312/500 [00:30<00:17, 10.87it/s]Analyzing Checkpoints:  63%|██████▎   | 314/500 [00:30<00:17, 10.84it/s]Analyzing Checkpoints:  63%|██████▎   | 316/500 [00:30<00:16, 10.85it/s]Analyzing Checkpoints:  64%|██████▎   | 318/500 [00:30<00:16, 10.87it/s]Analyzing Checkpoints:  64%|██████▍   | 320/500 [00:30<00:16, 11.01it/s]Analyzing Checkpoints:  64%|██████▍   | 322/500 [00:31<00:16, 11.10it/s]Analyzing Checkpoints:  65%|██████▍   | 324/500 [00:31<00:15, 11.16it/s]Analyzing Checkpoints:  65%|██████▌   | 326/500 [00:31<00:15, 11.05it/s]Analyzing Checkpoints:  66%|██████▌   | 328/500 [00:31<00:15, 11.30it/s]Analyzing Checkpoints:  66%|██████▌   | 330/500 [00:31<00:14, 11.35it/s]Analyzing Checkpoints:  66%|██████▋   | 332/500 [00:32<00:14, 11.23it/s]Analyzing Checkpoints:  67%|██████▋   | 334/500 [00:32<00:24,  6.85it/s]Analyzing Checkpoints:  67%|██████▋   | 336/500 [00:32<00:21,  7.75it/s]Analyzing Checkpoints:  68%|██████▊   | 338/500 [00:32<00:18,  8.54it/s]Analyzing Checkpoints:  68%|██████▊   | 340/500 [00:33<00:17,  9.09it/s]Analyzing Checkpoints:  68%|██████▊   | 342/500 [00:33<00:16,  9.55it/s]Analyzing Checkpoints:  69%|██████▉   | 344/500 [00:33<00:15,  9.76it/s]Analyzing Checkpoints:  69%|██████▉   | 346/500 [00:33<00:15,  9.98it/s]Analyzing Checkpoints:  70%|██████▉   | 348/500 [00:33<00:15, 10.04it/s]Analyzing Checkpoints:  70%|███████   | 350/500 [00:34<00:14, 10.33it/s]Analyzing Checkpoints:  70%|███████   | 352/500 [00:34<00:14, 10.25it/s]Analyzing Checkpoints:  71%|███████   | 354/500 [00:34<00:13, 10.45it/s]Analyzing Checkpoints:  71%|███████   | 356/500 [00:34<00:14, 10.19it/s]Analyzing Checkpoints:  72%|███████▏  | 358/500 [00:34<00:13, 10.25it/s]Analyzing Checkpoints:  72%|███████▏  | 360/500 [00:35<00:13, 10.56it/s]Analyzing Checkpoints:  72%|███████▏  | 362/500 [00:35<00:12, 10.65it/s]Analyzing Checkpoints:  73%|███████▎  | 364/500 [00:35<00:12, 10.65it/s]Analyzing Checkpoints:  73%|███████▎  | 366/500 [00:35<00:12, 10.54it/s]Analyzing Checkpoints:  74%|███████▎  | 368/500 [00:35<00:12, 10.74it/s]Analyzing Checkpoints:  74%|███████▍  | 370/500 [00:35<00:12, 10.70it/s]Analyzing Checkpoints:  74%|███████▍  | 372/500 [00:36<00:11, 10.87it/s]Analyzing Checkpoints:  75%|███████▍  | 374/500 [00:36<00:11, 10.78it/s]Analyzing Checkpoints:  75%|███████▌  | 376/500 [00:36<00:11, 10.76it/s]Analyzing Checkpoints:  76%|███████▌  | 378/500 [00:36<00:11, 10.78it/s]Analyzing Checkpoints:  76%|███████▌  | 380/500 [00:36<00:11, 10.64it/s]Analyzing Checkpoints:  76%|███████▋  | 382/500 [00:37<00:10, 10.76it/s]Analyzing Checkpoints:  77%|███████▋  | 384/500 [00:37<00:10, 10.99it/s]Analyzing Checkpoints:  77%|███████▋  | 386/500 [00:37<00:10, 10.82it/s]Analyzing Checkpoints:  78%|███████▊  | 388/500 [00:37<00:10, 10.71it/s]Analyzing Checkpoints:  78%|███████▊  | 390/500 [00:37<00:10, 10.81it/s]Analyzing Checkpoints:  78%|███████▊  | 392/500 [00:37<00:09, 10.96it/s]Analyzing Checkpoints:  79%|███████▉  | 394/500 [00:38<00:09, 11.06it/s]Analyzing Checkpoints:  79%|███████▉  | 396/500 [00:38<00:09, 11.03it/s]Analyzing Checkpoints:  80%|███████▉  | 398/500 [00:38<00:09, 11.19it/s]Analyzing Checkpoints:  80%|████████  | 400/500 [00:38<00:08, 11.15it/s]Analyzing Checkpoints:  80%|████████  | 402/500 [00:38<00:08, 10.95it/s]Analyzing Checkpoints:  81%|████████  | 404/500 [00:39<00:08, 10.79it/s]Analyzing Checkpoints:  81%|████████  | 406/500 [00:39<00:08, 10.78it/s]Analyzing Checkpoints:  82%|████████▏ | 408/500 [00:39<00:08, 10.77it/s]Analyzing Checkpoints:  82%|████████▏ | 410/500 [00:39<00:08, 10.84it/s]Analyzing Checkpoints:  82%|████████▏ | 412/500 [00:39<00:08, 10.91it/s]Analyzing Checkpoints:  83%|████████▎ | 414/500 [00:39<00:07, 10.86it/s]Analyzing Checkpoints:  83%|████████▎ | 416/500 [00:40<00:13,  6.29it/s]Analyzing Checkpoints:  84%|████████▎ | 418/500 [00:40<00:11,  7.25it/s]Analyzing Checkpoints:  84%|████████▍ | 419/500 [00:40<00:10,  7.59it/s]Analyzing Checkpoints:  84%|████████▍ | 421/500 [00:41<00:09,  8.65it/s]Analyzing Checkpoints:  85%|████████▍ | 423/500 [00:41<00:08,  9.42it/s]Analyzing Checkpoints:  85%|████████▌ | 425/500 [00:41<00:07,  9.93it/s]Analyzing Checkpoints:  85%|████████▌ | 427/500 [00:41<00:07, 10.05it/s]Analyzing Checkpoints:  86%|████████▌ | 429/500 [00:41<00:06, 10.29it/s]Analyzing Checkpoints:  86%|████████▌ | 431/500 [00:41<00:06, 10.30it/s]Analyzing Checkpoints:  87%|████████▋ | 433/500 [00:42<00:06, 10.60it/s]Analyzing Checkpoints:  87%|████████▋ | 435/500 [00:42<00:06, 10.73it/s]Analyzing Checkpoints:  87%|████████▋ | 437/500 [00:42<00:05, 10.77it/s]Analyzing Checkpoints:  88%|████████▊ | 439/500 [00:42<00:05, 10.85it/s]Analyzing Checkpoints:  88%|████████▊ | 441/500 [00:42<00:05, 10.94it/s]Analyzing Checkpoints:  89%|████████▊ | 443/500 [00:43<00:05, 10.89it/s]Analyzing Checkpoints:  89%|████████▉ | 445/500 [00:43<00:05, 10.71it/s]Analyzing Checkpoints:  89%|████████▉ | 447/500 [00:43<00:04, 10.64it/s]Analyzing Checkpoints:  90%|████████▉ | 449/500 [00:43<00:04, 10.45it/s]Analyzing Checkpoints:  90%|█████████ | 451/500 [00:43<00:04, 10.35it/s]Ep 232: Q_pred=-24.96, Q_real=-42.77
Ep 233: Q_pred=-3.62, Q_real=-107.98
Ep 234: Q_pred=-7.26, Q_real=-151.69
Ep 235: Q_pred=-43.43, Q_real=0.00
Ep 236: Q_pred=-12.27, Q_real=-1024.62
Ep 237: Q_pred=-28.20, Q_real=-11.00
Ep 238: Q_pred=-25.58, Q_real=-407.90
Ep 239: Q_pred=-39.27, Q_real=0.00
Ep 240: Q_pred=-45.08, Q_real=-98.75
Ep 241: Q_pred=-0.02, Q_real=-877.99
Ep 242: Q_pred=-37.32, Q_real=0.00
Ep 243: Q_pred=-20.61, Q_real=-124.11
Ep 244: Q_pred=-13.50, Q_real=-18.23
Ep 245: Q_pred=-24.07, Q_real=-191.93
Ep 246: Q_pred=-18.98, Q_real=-74.27
Ep 247: Q_pred=-18.13, Q_real=-107.52
Ep 248: Q_pred=-14.97, Q_real=-56.55
Ep 249: Q_pred=-29.11, Q_real=-17.85
Ep 250: Q_pred=-20.99, Q_real=-20.60
Ep 251: Q_pred=1.12, Q_real=-999.32
Ep 252: Q_pred=-37.78, Q_real=-14.85
Ep 253: Q_pred=-21.42, Q_real=-89.58
Ep 254: Q_pred=-1.92, Q_real=-465.72
Ep 255: Q_pred=-6.14, Q_real=-0.64
Ep 256: Q_pred=-16.83, Q_real=-215.12
Ep 257: Q_pred=-13.86, Q_real=-30.42
Ep 258: Q_pred=-35.77, Q_real=-31.67
Ep 259: Q_pred=-42.24, Q_real=-0.03
Ep 260: Q_pred=3.04, Q_real=-1232.36
Ep 261: Q_pred=-23.19, Q_real=-68.92
Ep 262: Q_pred=-20.76, Q_real=-82.70
Ep 263: Q_pred=-7.44, Q_real=-383.21
Ep 264: Q_pred=-25.82, Q_real=0.00
Ep 265: Q_pred=-33.27, Q_real=-2.21
Ep 266: Q_pred=-12.35, Q_real=-24.65
Ep 267: Q_pred=-27.05, Q_real=-0.09
Ep 268: Q_pred=-22.47, Q_real=-169.53
Ep 269: Q_pred=-25.40, Q_real=-43.74
Ep 270: Q_pred=-33.39, Q_real=-71.83
Ep 271: Q_pred=-35.40, Q_real=0.00
Ep 272: Q_pred=-13.12, Q_real=-0.05
Ep 273: Q_pred=-27.22, Q_real=-114.90
Ep 274: Q_pred=-28.26, Q_real=0.00
Ep 275: Q_pred=1.19, Q_real=-411.59
Ep 276: Q_pred=-3.74, Q_real=-365.11
Ep 277: Q_pred=-22.63, Q_real=0.00
Ep 278: Q_pred=-22.83, Q_real=-1529.67
Ep 279: Q_pred=-20.73, Q_real=-289.60
Ep 280: Q_pred=-24.02, Q_real=-8.88
Ep 281: Q_pred=-21.95, Q_real=-49.84
Ep 282: Q_pred=-26.41, Q_real=-152.89
Ep 283: Q_pred=-25.12, Q_real=-92.59
Ep 284: Q_pred=-13.16, Q_real=-46.99
Ep 285: Q_pred=-11.01, Q_real=-352.94
Ep 286: Q_pred=-20.54, Q_real=-438.48
Ep 287: Q_pred=-40.02, Q_real=-141.72
Ep 288: Q_pred=-22.62, Q_real=-59.52
Ep 289: Q_pred=-26.63, Q_real=-50.51
Ep 290: Q_pred=-32.58, Q_real=-57.42
Ep 291: Q_pred=-37.23, Q_real=-767.81
Ep 292: Q_pred=-28.74, Q_real=-101.89
Ep 293: Q_pred=-22.89, Q_real=-72.53
Ep 294: Q_pred=-30.98, Q_real=0.00
Ep 295: Q_pred=-16.56, Q_real=-41.13
Ep 296: Q_pred=-33.08, Q_real=-5.31
Ep 297: Q_pred=-37.43, Q_real=-33.85
Ep 298: Q_pred=-18.08, Q_real=-28.65
Ep 299: Q_pred=-22.22, Q_real=-1248.25
Ep 300: Q_pred=-32.62, Q_real=0.00
Ep 301: Q_pred=-22.63, Q_real=-412.31
Ep 302: Q_pred=-44.26, Q_real=-90.26
Ep 303: Q_pred=-14.12, Q_real=-509.46
Ep 304: Q_pred=-39.03, Q_real=-82.49
Ep 305: Q_pred=-31.66, Q_real=-16.05
Ep 306: Q_pred=-14.54, Q_real=-255.69
Ep 307: Q_pred=-36.18, Q_real=-150.87
Ep 308: Q_pred=-32.87, Q_real=-170.75
Ep 309: Q_pred=-10.04, Q_real=-962.42
Ep 310: Q_pred=-47.33, Q_real=0.00
Ep 311: Q_pred=-38.75, Q_real=-8.82
Ep 312: Q_pred=-34.04, Q_real=0.00
Ep 313: Q_pred=-41.54, Q_real=-0.08
Ep 314: Q_pred=-34.03, Q_real=-24.65
Ep 315: Q_pred=-22.57, Q_real=-1163.29
Ep 316: Q_pred=-43.43, Q_real=-47.11
Ep 317: Q_pred=-28.38, Q_real=-137.33
Ep 318: Q_pred=-36.70, Q_real=-9.52
Ep 319: Q_pred=-44.69, Q_real=-76.59
Ep 320: Q_pred=-49.26, Q_real=-64.98
Ep 321: Q_pred=-32.58, Q_real=0.00
Ep 322: Q_pred=-41.30, Q_real=-53.60
Ep 323: Q_pred=-39.47, Q_real=-22.50
Ep 324: Q_pred=-18.65, Q_real=-0.02
Ep 325: Q_pred=-65.49, Q_real=-1593.43
Ep 326: Q_pred=-42.45, Q_real=-33.98
Ep 327: Q_pred=-38.43, Q_real=-54.85
Ep 328: Q_pred=-26.03, Q_real=-261.32
Ep 329: Q_pred=-51.04, Q_real=-42.23
Ep 330: Q_pred=-20.91, Q_real=-638.27
Ep 331: Q_pred=-42.16, Q_real=-11.85
Ep 332: Q_pred=-60.81, Q_real=-236.03
Ep 333: Q_pred=-33.16, Q_real=-254.41
Ep 334: Q_pred=-38.52, Q_real=-20.81
Ep 335: Q_pred=-52.05, Q_real=-18.63
Ep 336: Q_pred=-48.63, Q_real=-8.60
Ep 337: Q_pred=-45.77, Q_real=-190.54
Ep 338: Q_pred=-28.29, Q_real=-14.44
Ep 339: Q_pred=-40.26, Q_real=0.00
Ep 340: Q_pred=-39.79, Q_real=-0.07
Ep 341: Q_pred=-31.21, Q_real=-30.71
Ep 342: Q_pred=-35.35, Q_real=-164.51
Ep 343: Q_pred=-35.60, Q_real=-45.03
Ep 344: Q_pred=-58.13, Q_real=-4.69
Ep 345: Q_pred=-31.07, Q_real=-63.03
Ep 346: Q_pred=-42.27, Q_real=-25.46
Ep 347: Q_pred=-36.72, Q_real=-402.64
Ep 348: Q_pred=-54.76, Q_real=0.00
Ep 349: Q_pred=-46.38, Q_real=-682.80
Ep 350: Q_pred=-44.57, Q_real=0.00
Ep 351: Q_pred=-36.73, Q_real=-728.65
Ep 352: Q_pred=-71.80, Q_real=-254.91
Ep 353: Q_pred=-26.75, Q_real=-71.79
Ep 354: Q_pred=-41.06, Q_real=-700.75
Ep 355: Q_pred=-34.88, Q_real=-21.42
Ep 356: Q_pred=-51.14, Q_real=-21.53
Ep 357: Q_pred=-55.68, Q_real=-0.73
Ep 358: Q_pred=-31.79, Q_real=-608.31
Ep 359: Q_pred=-49.58, Q_real=-70.76
Ep 360: Q_pred=-44.87, Q_real=-20.52
Ep 361: Q_pred=-41.11, Q_real=-19.87
Ep 362: Q_pred=-53.56, Q_real=-29.67
Ep 363: Q_pred=-47.74, Q_real=-60.92
Ep 364: Q_pred=-36.36, Q_real=-696.30
Ep 365: Q_pred=-36.95, Q_real=-5.86
Ep 366: Q_pred=-46.19, Q_real=-147.35
Ep 367: Q_pred=-45.73, Q_real=-26.36
Ep 368: Q_pred=-32.24, Q_real=-69.73
Ep 369: Q_pred=-55.94, Q_real=-112.86
Ep 370: Q_pred=-40.74, Q_real=-177.83
Ep 371: Q_pred=-47.78, Q_real=-3.75
Ep 372: Q_pred=-44.04, Q_real=-469.28
Ep 373: Q_pred=-40.19, Q_real=-30.42
Ep 374: Q_pred=-56.61, Q_real=-114.15
Ep 375: Q_pred=-45.39, Q_real=-78.98
Ep 376: Q_pred=-48.62, Q_real=-30.71
Ep 377: Q_pred=-45.21, Q_real=-78.98
Ep 378: Q_pred=-46.84, Q_real=-15.44
Ep 379: Q_pred=-59.56, Q_real=-397.04
Ep 380: Q_pred=-47.27, Q_real=-11.85
Ep 381: Q_pred=-45.96, Q_real=-64.98
Ep 382: Q_pred=-49.14, Q_real=-1019.57
Ep 383: Q_pred=-47.87, Q_real=-60.65
Ep 384: Q_pred=-41.83, Q_real=-5.31
Ep 385: Q_pred=-33.15, Q_real=-873.99
Ep 386: Q_pred=-36.12, Q_real=-1051.24
Ep 387: Q_pred=-54.81, Q_real=-6.90
Ep 388: Q_pred=-53.23, Q_real=-153.15
Ep 389: Q_pred=-25.98, Q_real=-151.39
Ep 390: Q_pred=-26.38, Q_real=-118.52
Ep 391: Q_pred=-38.91, Q_real=0.00
Ep 392: Q_pred=-39.49, Q_real=-265.85
Ep 393: Q_pred=-53.84, Q_real=-85.65
Ep 394: Q_pred=-52.18, Q_real=-247.03
Ep 395: Q_pred=-36.97, Q_real=-152.61
Ep 396: Q_pred=-44.36, Q_real=-37.60
Ep 397: Q_pred=-32.76, Q_real=-32.79
Ep 398: Q_pred=-55.64, Q_real=-113.86
Ep 399: Q_pred=-33.56, Q_real=-214.44
Ep 400: Q_pred=-47.63, Q_real=-54.69
Ep 401: Q_pred=-46.74, Q_real=-186.21
Ep 402: Q_pred=-62.82, Q_real=-280.41
Ep 403: Q_pred=-52.25, Q_real=-865.79
Ep 404: Q_pred=-57.38, Q_real=-63.15
Ep 405: Q_pred=-56.88, Q_real=-1661.75
Ep 406: Q_pred=-70.02, Q_real=-129.36
Ep 407: Q_pred=-48.20, Q_real=-97.77
Ep 408: Q_pred=-55.66, Q_real=-2.95
Ep 409: Q_pred=-47.86, Q_real=-20.60
Ep 410: Q_pred=-43.26, Q_real=-860.99
Ep 411: Q_pred=-46.74, Q_real=-38.27
Ep 412: Q_pred=-42.88, Q_real=-278.06
Ep 413: Q_pred=-48.89, Q_real=0.00
Ep 414: Q_pred=-53.12, Q_real=0.00
Ep 415: Q_pred=-63.85, Q_real=-137.33
Ep 416: Q_pred=-47.06, Q_real=-400.74
Ep 417: Q_pred=-44.05, Q_real=-11.00
Ep 418: Q_pred=-48.95, Q_real=-1481.22
Ep 419: Q_pred=-63.52, Q_real=-509.46
Ep 420: Q_pred=-77.04, Q_real=-107.41
Ep 421: Q_pred=-48.01, Q_real=-206.51
Ep 422: Q_pred=-60.03, Q_real=-507.48
Ep 423: Q_pred=-67.51, Q_real=-397.27
Ep 424: Q_pred=-49.74, Q_real=-2.56
Ep 425: Q_pred=-62.25, Q_real=-534.27
Ep 426: Q_pred=-91.77, Q_real=-97.77
Ep 427: Q_pred=-57.33, Q_real=-269.49
Ep 428: Q_pred=-59.06, Q_real=-11.91
Ep 429: Q_pred=-54.81, Q_real=-59.74
Ep 430: Q_pred=-54.66, Q_real=-340.99
Ep 431: Q_pred=-71.81, Q_real=-23.44
Ep 432: Q_pred=-64.25, Q_real=-175.86
Ep 433: Q_pred=-70.56, Q_real=-15.33
Ep 434: Q_pred=-42.40, Q_real=-137.33
Ep 435: Q_pred=-71.75, Q_real=-6.39
Ep 436: Q_pred=-58.41, Q_real=-41.30
Ep 437: Q_pred=-68.74, Q_real=-226.08
Ep 438: Q_pred=-60.51, Q_real=-2.99
Ep 439: Q_pred=-47.96, Q_real=-37.87
Ep 440: Q_pred=-52.21, Q_real=0.00
Ep 441: Q_pred=-76.62, Q_real=-333.46
Ep 442: Q_pred=-81.67, Q_real=-331.00
Ep 443: Q_pred=-47.74, Q_real=-128.04
Ep 444: Q_pred=-57.34, Q_real=-221.31
Ep 445: Q_pred=-80.41, Q_real=0.00
Ep 446: Q_pred=-74.84, Q_real=0.00
Ep 447: Q_pred=-73.07, Q_real=-240.48
Ep 448: Q_pred=-66.29, Q_real=-157.54
Ep 449: Q_pred=-75.04, Q_real=-203.90
Ep 450: Q_pred=-65.93, Q_real=-247.30
Ep 451: Q_pred=-85.81, Q_real=-577.94
Analyzing Checkpoints:  91%|█████████ | 453/500 [00:44<00:04, 10.17it/s]Analyzing Checkpoints:  91%|█████████ | 455/500 [00:44<00:04, 10.28it/s]Analyzing Checkpoints:  91%|█████████▏| 457/500 [00:44<00:04, 10.41it/s]Analyzing Checkpoints:  92%|█████████▏| 459/500 [00:44<00:03, 10.47it/s]Analyzing Checkpoints:  92%|█████████▏| 461/500 [00:44<00:03, 10.49it/s]Analyzing Checkpoints:  93%|█████████▎| 463/500 [00:45<00:03, 10.39it/s]Analyzing Checkpoints:  93%|█████████▎| 465/500 [00:45<00:03, 10.56it/s]Analyzing Checkpoints:  93%|█████████▎| 467/500 [00:45<00:03, 10.61it/s]Analyzing Checkpoints:  94%|█████████▍| 469/500 [00:45<00:02, 10.74it/s]Analyzing Checkpoints:  94%|█████████▍| 471/500 [00:45<00:02, 10.79it/s]Analyzing Checkpoints:  95%|█████████▍| 473/500 [00:45<00:02, 10.79it/s]Analyzing Checkpoints:  95%|█████████▌| 475/500 [00:46<00:02, 10.61it/s]Analyzing Checkpoints:  95%|█████████▌| 477/500 [00:46<00:02, 10.77it/s]Analyzing Checkpoints:  96%|█████████▌| 479/500 [00:46<00:01, 10.62it/s]Analyzing Checkpoints:  96%|█████████▌| 481/500 [00:46<00:01, 10.93it/s]Analyzing Checkpoints:  97%|█████████▋| 483/500 [00:46<00:01, 10.76it/s]Analyzing Checkpoints:  97%|█████████▋| 485/500 [00:47<00:01, 10.88it/s]Analyzing Checkpoints:  97%|█████████▋| 487/500 [00:47<00:01, 10.75it/s]Analyzing Checkpoints:  98%|█████████▊| 489/500 [00:47<00:00, 11.00it/s]Analyzing Checkpoints:  98%|█████████▊| 491/500 [00:47<00:00, 10.84it/s]Analyzing Checkpoints:  99%|█████████▊| 493/500 [00:47<00:00, 11.06it/s]Analyzing Checkpoints:  99%|█████████▉| 495/500 [00:47<00:00, 11.05it/s]Analyzing Checkpoints:  99%|█████████▉| 497/500 [00:48<00:00, 11.09it/s]Analyzing Checkpoints: 100%|█████████▉| 499/500 [00:48<00:00, 11.15it/s]Analyzing Checkpoints: 100%|██████████| 500/500 [00:48<00:00, 10.33it/s]
Ep 452: Q_pred=-96.44, Q_real=-381.94
Ep 453: Q_pred=-69.71, Q_real=-32.19
Ep 454: Q_pred=-65.16, Q_real=-97.97
Ep 455: Q_pred=-56.96, Q_real=-102.10
Ep 456: Q_pred=-73.70, Q_real=-641.03
Ep 457: Q_pred=-84.94, Q_real=-594.82
Ep 458: Q_pred=-69.17, Q_real=-329.80
Ep 459: Q_pred=-97.70, Q_real=-229.41
Ep 460: Q_pred=-78.57, Q_real=-259.71
Ep 461: Q_pred=-93.07, Q_real=0.00
Ep 462: Q_pred=-85.33, Q_real=-62.00
Ep 463: Q_pred=-85.49, Q_real=-8.86
Ep 464: Q_pred=-92.88, Q_real=-693.53
Ep 465: Q_pred=-85.82, Q_real=-223.97
Ep 466: Q_pred=-71.46, Q_real=-13.39
Ep 467: Q_pred=-77.60, Q_real=-98.10
Ep 468: Q_pred=-74.81, Q_real=-78.85
Ep 469: Q_pred=-97.62, Q_real=-4.45
Ep 470: Q_pred=-81.83, Q_real=-0.64
Ep 471: Q_pred=-100.95, Q_real=-84.72
Ep 472: Q_pred=-88.81, Q_real=-155.22
Ep 473: Q_pred=-76.48, Q_real=-175.44
Ep 474: Q_pred=-90.20, Q_real=-941.76
Ep 475: Q_pred=-76.99, Q_real=-136.82
Ep 476: Q_pred=-54.94, Q_real=-82.91
Ep 477: Q_pred=-89.74, Q_real=-280.32
Ep 478: Q_pred=-89.42, Q_real=-104.16
Ep 479: Q_pred=-87.43, Q_real=-144.67
Ep 480: Q_pred=-82.65, Q_real=-110.78
Ep 481: Q_pred=-95.40, Q_real=0.00
Ep 482: Q_pred=-99.12, Q_real=-190.65
Ep 483: Q_pred=-78.04, Q_real=-134.46
Ep 484: Q_pred=-63.66, Q_real=-78.98
Ep 485: Q_pred=-92.19, Q_real=-242.04
Ep 486: Q_pred=-115.18, Q_real=-1720.96
Ep 487: Q_pred=-98.39, Q_real=-340.52
Ep 488: Q_pred=-73.58, Q_real=-94.14
Ep 489: Q_pred=-123.99, Q_real=-764.52
Ep 490: Q_pred=-113.75, Q_real=-178.92
Ep 491: Q_pred=-107.24, Q_real=-68.21
Ep 492: Q_pred=-102.12, Q_real=-94.62
Ep 493: Q_pred=-112.55, Q_real=-775.08
Ep 494: Q_pred=-91.44, Q_real=-200.09
Ep 495: Q_pred=-104.70, Q_real=-1402.14
Ep 496: Q_pred=-108.24, Q_real=-1363.36
Ep 497: Q_pred=-95.27, Q_real=-383.65
Ep 498: Q_pred=-107.07, Q_real=-923.64
Ep 499: Q_pred=-105.99, Q_real=-3.75
Saved analysis to /home/erzhu419/mine_code/LSTM-RL/ensemble_paper/q_comparasion/sac_q_accuracy_debug.npy
